scene_type,sample_id,iou,num_gt_objects,image_file,seed,token_count,raw_token_count,runtime
Isolated,1,0.9432,1,ILSVRC2012_val_00035419.JPEG,42669,41,43,3.50838565826416
Isolated,2,0.97898,1,ILSVRC2012_val_00049130.JPEG,42669,36,43,3.50838565826416
Isolated,3,0.93557,1,ILSVRC2012_val_00005082.JPEG,42669,39,43,3.50838565826416
Isolated,4,0.98874,1,ILSVRC2012_val_00021926.JPEG,42669,40,43,3.50838565826416
Isolated,5,0.95466,1,ILSVRC2012_val_00048078.JPEG,42669,42,43,3.50838565826416
Isolated,6,0.9815,1,ILSVRC2012_val_00046712.JPEG,42669,39,43,3.50838565826416
Isolated,7,0.92403,1,ILSVRC2012_val_00003160.JPEG,42669,39,43,3.50838565826416
Isolated,8,0.98754,1,ILSVRC2012_val_00023147.JPEG,42669,41,43,3.50838565826416
Isolated,9,0.97929,1,ILSVRC2012_val_00041335.JPEG,42669,38,43,3.50838565826416
Isolated,10,0.87625,1,ILSVRC2012_val_00010968.JPEG,42669,39,43,3.50838565826416
Isolated,11,0.85257,1,ILSVRC2012_val_00045262.JPEG,42669,40,43,3.50838565826416
Isolated,12,0.90434,1,ILSVRC2013_val_00003490.JPEG,42669,40,43,3.50838565826416
Isolated,13,0.94737,1,ILSVRC2012_val_00003356.JPEG,42669,39,43,3.50838565826416
Isolated,14,0.94979,1,ILSVRC2012_val_00044894.JPEG,42669,37,43,3.50838565826416
Isolated,15,0.96873,1,ILSVRC2012_val_00028936.JPEG,42669,39,43,3.50838565826416
Isolated,16,0.9036,1,ILSVRC2012_val_00007808.JPEG,42669,41,43,3.50838565826416
Isolated,17,0.97297,1,ILSVRC2012_val_00038933.JPEG,42669,36,43,3.50838565826416
Isolated,18,0.97597,1,ILSVRC2012_val_00030174.JPEG,42669,40,43,3.50838565826416
Isolated,19,0.91039,1,ILSVRC2012_val_00021673.JPEG,42669,42,43,3.50838565826416
Isolated,20,0.95613,1,ILSVRC2012_val_00045392.JPEG,42669,39,43,3.50838565826416
Isolated,21,0.92846,1,ILSVRC2013_val_00000190.JPEG,42669,39,43,3.50838565826416
Isolated,22,0.93404,1,ILSVRC2012_val_00033734.JPEG,42669,40,43,3.50838565826416
Isolated,23,0.926,1,ILSVRC2012_val_00043918.JPEG,42669,39,43,3.50838565826416
Isolated,24,0.92726,1,ILSVRC2013_val_00004478.JPEG,42669,38,43,3.50838565826416
Isolated,25,0.98264,1,ILSVRC2012_val_00026647.JPEG,42669,38,174,8.174895286560059
Isolated,26,0.96288,1,ILSVRC2012_val_00049779.JPEG,42669,38,174,8.174895286560059
Isolated,27,0.99249,1,ILSVRC2012_val_00021744.JPEG,42669,38,174,8.174895286560059
Isolated,28,0.94321,1,ILSVRC2012_val_00031798.JPEG,42669,39,174,8.174895286560059
Isolated,29,0.93756,1,ILSVRC2012_val_00038648.JPEG,42669,39,174,8.174895286560059
Isolated,30,0.94462,1,ILSVRC2012_val_00006543.JPEG,42669,42,174,8.174895286560059
Isolated,31,0.84538,1,ILSVRC2012_val_00022992.JPEG,42669,39,174,8.174895286560059
Isolated,32,0.97142,1,ILSVRC2012_val_00018134.JPEG,42669,39,174,8.174895286560059
Isolated,33,0.5901,1,ILSVRC2013_val_00000212.JPEG,42669,173,174,8.174895286560059
Isolated,34,0.97073,1,ILSVRC2012_val_00032156.JPEG,42669,41,174,8.174895286560059
Isolated,35,0.95586,1,ILSVRC2012_val_00037811.JPEG,42669,37,174,8.174895286560059
Isolated,36,0.87681,1,ILSVRC2012_val_00032509.JPEG,42669,39,174,8.174895286560059
Isolated,37,0.96758,1,ILSVRC2012_val_00028184.JPEG,42669,39,174,8.174895286560059
Isolated,38,0.95671,1,ILSVRC2012_val_00015578.JPEG,42669,40,174,8.174895286560059
Isolated,39,0.81849,1,ILSVRC2012_val_00007651.JPEG,42669,39,174,8.174895286560059
Isolated,40,0.9875,1,ILSVRC2012_val_00023347.JPEG,42669,38,174,8.174895286560059
Isolated,41,0.97305,1,ILSVRC2012_val_00024536.JPEG,42669,40,174,8.174895286560059
Isolated,42,0.98602,1,ILSVRC2012_val_00009984.JPEG,42669,40,174,8.174895286560059
Isolated,43,0.94185,1,ILSVRC2012_val_00002242.JPEG,42669,39,174,8.174895286560059
Isolated,44,0.91794,1,ILSVRC2012_val_00007235.JPEG,42669,39,174,8.174895286560059
Isolated,45,0.98032,1,ILSVRC2012_val_00037424.JPEG,42669,39,174,8.174895286560059
Isolated,46,0.65291,1,ILSVRC2013_val_00000447.JPEG,42669,40,174,8.174895286560059
Isolated,47,0.98267,1,ILSVRC2012_val_00018834.JPEG,42669,38,174,8.174895286560059
Isolated,48,0.9761,1,ILSVRC2012_val_00018796.JPEG,42669,39,174,8.174895286560059
Isolated,49,0.96986,1,ILSVRC2012_val_00040371.JPEG,42669,38,75,5.791398525238037
Isolated,50,0.8876,1,ILSVRC2012_val_00037021.JPEG,42669,39,75,5.791398525238037
Isolated,51,0.94011,1,ILSVRC2012_val_00013814.JPEG,42669,39,75,5.791398525238037
Isolated,52,0.9457,1,ILSVRC2012_val_00001997.JPEG,42669,39,75,5.791398525238037
Isolated,53,0.87363,1,ILSVRC2013_val_00003215.JPEG,42669,40,75,5.791398525238037
Isolated,54,0.83477,1,ILSVRC2012_val_00000043.JPEG,42669,39,75,5.791398525238037
Isolated,55,0.76053,1,ILSVRC2013_val_00003950.JPEG,42669,74,75,5.791398525238037
Isolated,56,0.86219,1,ILSVRC2012_val_00016023.JPEG,42669,39,75,5.791398525238037
Isolated,57,0.79131,1,ILSVRC2012_val_00034996.JPEG,42669,39,75,5.791398525238037
Isolated,58,0.9421,1,ILSVRC2013_val_00002118.JPEG,42669,41,75,5.791398525238037
Isolated,59,0.97133,1,ILSVRC2012_val_00042061.JPEG,42669,40,75,5.791398525238037
Isolated,60,0.87667,1,ILSVRC2012_val_00033189.JPEG,42669,39,75,5.791398525238037
Isolated,61,0.9893,1,ILSVRC2012_val_00011894.JPEG,42669,39,75,5.791398525238037
Isolated,62,0.95101,1,ILSVRC2012_val_00028633.JPEG,42669,38,75,5.791398525238037
Isolated,63,0.88882,1,ILSVRC2012_val_00031888.JPEG,42669,40,75,5.791398525238037
Isolated,64,0.9508,1,ILSVRC2013_val_00003066.JPEG,42669,39,75,5.791398525238037
Isolated,65,0.93115,1,ILSVRC2013_val_00002122.JPEG,42669,70,75,5.791398525238037
Isolated,66,0.72411,1,ILSVRC2012_val_00038746.JPEG,42669,40,75,5.791398525238037
Isolated,67,0.61923,1,ILSVRC2012_val_00018722.JPEG,42669,39,75,5.791398525238037
Isolated,68,0.98347,1,ILSVRC2012_val_00041850.JPEG,42669,39,75,5.791398525238037
Isolated,69,0.96402,1,ILSVRC2012_val_00022095.JPEG,42669,39,75,5.791398525238037
Isolated,70,0.94654,1,ILSVRC2012_val_00024216.JPEG,42669,39,75,5.791398525238037
Isolated,71,0.98186,1,ILSVRC2012_val_00045019.JPEG,42669,39,75,5.791398525238037
Isolated,72,0.98542,1,ILSVRC2012_val_00024773.JPEG,42669,39,75,5.791398525238037
Isolated,73,0.88172,1,ILSVRC2013_val_00004263.JPEG,42669,39,43,4.050210952758789
Isolated,74,0.98181,1,ILSVRC2012_val_00028621.JPEG,42669,41,43,4.050210952758789
Isolated,75,0.90868,1,ILSVRC2012_val_00003748.JPEG,42669,39,43,4.050210952758789
Isolated,76,0.96899,1,ILSVRC2012_val_00000507.JPEG,42669,39,43,4.050210952758789
Isolated,77,0.93771,1,ILSVRC2012_val_00030278.JPEG,42669,38,43,4.050210952758789
Isolated,78,0.60653,1,ILSVRC2012_val_00032206.JPEG,42669,41,43,4.050210952758789
Isolated,79,0.9716,1,ILSVRC2012_val_00005033.JPEG,42669,37,43,4.050210952758789
Isolated,80,0.9236,1,ILSVRC2012_val_00005224.JPEG,42669,37,43,4.050210952758789
Isolated,81,0.90075,1,ILSVRC2012_val_00008747.JPEG,42669,38,43,4.050210952758789
Isolated,82,0.94375,1,ILSVRC2012_val_00039496.JPEG,42669,40,43,4.050210952758789
Isolated,83,0.95014,1,ILSVRC2013_val_00003473.JPEG,42669,40,43,4.050210952758789
Isolated,84,0.9266,1,ILSVRC2013_val_00001606.JPEG,42669,42,43,4.050210952758789
Isolated,85,0.93502,1,ILSVRC2012_val_00004755.JPEG,42669,40,43,4.050210952758789
Isolated,86,0.87675,1,ILSVRC2012_val_00006037.JPEG,42669,40,43,4.050210952758789
Isolated,87,0.91376,1,ILSVRC2012_val_00030779.JPEG,42669,41,43,4.050210952758789
Isolated,88,0.90599,1,ILSVRC2013_val_00000663.JPEG,42669,41,43,4.050210952758789
Isolated,89,0.94258,1,ILSVRC2012_val_00014794.JPEG,42669,39,43,4.050210952758789
Isolated,90,0.88666,1,ILSVRC2012_val_00019172.JPEG,42669,39,43,4.050210952758789
Isolated,91,0.92049,1,ILSVRC2012_val_00015039.JPEG,42669,41,43,4.050210952758789
Isolated,92,0.93391,1,ILSVRC2012_val_00047582.JPEG,42669,41,43,4.050210952758789
Isolated,93,0.91889,1,ILSVRC2012_val_00024889.JPEG,42669,39,43,4.050210952758789
Isolated,94,0.93119,1,ILSVRC2012_val_00027989.JPEG,42669,37,43,4.050210952758789
Isolated,95,0.97078,1,ILSVRC2012_val_00022799.JPEG,42669,39,43,4.050210952758789
Isolated,96,0.9536,1,ILSVRC2012_val_00022474.JPEG,42669,39,43,4.050210952758789
Isolated,97,0.90926,1,ILSVRC2012_val_00017083.JPEG,42669,40,42,2.8251354694366455
Isolated,98,0.97291,1,ILSVRC2013_val_00001676.JPEG,42669,36,42,2.8251354694366455
Isolated,99,0.9724,1,ILSVRC2012_val_00005430.JPEG,42669,40,42,2.8251354694366455
Isolated,100,0.78719,1,ILSVRC2012_val_00012768.JPEG,42669,39,42,2.8251354694366455
Isolated,101,0.97738,1,ILSVRC2012_val_00026793.JPEG,42669,40,42,2.8251354694366455
Isolated,102,0.98044,1,ILSVRC2012_val_00017400.JPEG,42669,39,42,2.8251354694366455
Isolated,103,0.793,1,ILSVRC2012_val_00022634.JPEG,42669,40,42,2.8251354694366455
Isolated,104,0.93602,1,ILSVRC2012_val_00015513.JPEG,42669,39,42,2.8251354694366455
Isolated,105,0.94764,1,ILSVRC2012_val_00046759.JPEG,42669,39,42,2.8251354694366455
Isolated,106,0.95536,1,ILSVRC2012_val_00023686.JPEG,42669,39,42,2.8251354694366455
Isolated,107,0.84626,1,ILSVRC2012_val_00007524.JPEG,42669,39,42,2.8251354694366455
Isolated,108,0.77642,1,ILSVRC2012_val_00001284.JPEG,42669,39,42,2.8251354694366455
Isolated,109,0.92253,1,ILSVRC2012_val_00049361.JPEG,42669,41,42,2.8251354694366455
Isolated,110,0.97125,1,ILSVRC2012_val_00005667.JPEG,42669,40,42,2.8251354694366455
Isolated,111,0.96933,1,ILSVRC2012_val_00000668.JPEG,42669,38,42,2.8251354694366455
Isolated,112,0.83159,1,ILSVRC2012_val_00045991.JPEG,42669,38,42,2.8251354694366455
Isolated,113,0.91897,1,ILSVRC2012_val_00030924.JPEG,42669,38,42,2.8251354694366455
Isolated,114,0.94736,1,ILSVRC2012_val_00022266.JPEG,42669,39,42,2.8251354694366455
Isolated,115,0.78962,1,ILSVRC2012_val_00028443.JPEG,42669,40,42,2.8251354694366455
Isolated,116,0.91678,1,ILSVRC2012_val_00021104.JPEG,42669,38,42,2.8251354694366455
Isolated,117,0.98203,1,ILSVRC2012_val_00033737.JPEG,42669,37,42,2.8251354694366455
Isolated,118,0.89267,1,ILSVRC2012_val_00020044.JPEG,42669,40,42,2.8251354694366455
Isolated,119,0.97015,1,ILSVRC2012_val_00025472.JPEG,42669,39,42,2.8251354694366455
Isolated,120,0.95428,1,ILSVRC2012_val_00031885.JPEG,42669,40,42,2.8251354694366455
Isolated,121,0.80711,1,ILSVRC2012_val_00044238.JPEG,42669,39,105,5.4747314453125
Isolated,122,0.9647,1,ILSVRC2012_val_00023403.JPEG,42669,40,105,5.4747314453125
Isolated,123,0.85714,1,ILSVRC2012_val_00019022.JPEG,42669,104,105,5.4747314453125
Isolated,124,0.94598,1,ILSVRC2012_val_00001504.JPEG,42669,39,105,5.4747314453125
Isolated,125,0.98162,1,ILSVRC2012_val_00034174.JPEG,42669,39,105,5.4747314453125
Isolated,126,0.9513,1,ILSVRC2012_val_00001988.JPEG,42669,40,105,5.4747314453125
Isolated,127,0.95064,1,ILSVRC2012_val_00006923.JPEG,42669,39,105,5.4747314453125
Isolated,128,0.97191,1,ILSVRC2012_val_00015555.JPEG,42669,38,105,5.4747314453125
Isolated,129,0.7425,1,ILSVRC2012_val_00025241.JPEG,42669,39,105,5.4747314453125
Isolated,130,0.86053,1,ILSVRC2012_val_00009701.JPEG,42669,38,105,5.4747314453125
Isolated,131,0.97444,1,ILSVRC2012_val_00038719.JPEG,42669,41,105,5.4747314453125
Isolated,132,0.84607,1,ILSVRC2012_val_00032129.JPEG,42669,40,105,5.4747314453125
Isolated,133,0.94603,1,ILSVRC2013_val_00004422.JPEG,42669,73,105,5.4747314453125
Isolated,134,0.94666,1,ILSVRC2012_val_00048104.JPEG,42669,41,105,5.4747314453125
Isolated,135,0.91063,1,ILSVRC2012_val_00006927.JPEG,42669,40,105,5.4747314453125
Isolated,136,0.97427,1,ILSVRC2012_val_00027511.JPEG,42669,39,105,5.4747314453125
Isolated,137,0.97225,1,ILSVRC2012_val_00041342.JPEG,42669,39,105,5.4747314453125
Isolated,138,0.9629,1,ILSVRC2013_val_00003002.JPEG,42669,38,105,5.4747314453125
Isolated,139,0.98016,1,ILSVRC2012_val_00001111.JPEG,42669,39,105,5.4747314453125
